🔠央卫高清,#genre#
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16,http://z.b.bkpcp.top/m.php?id=cctv16
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV-4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV-4美洲,http://z.b.bkpcp.top/m.php?id=cctv4a
CGTN-纪录,http://z.b.bkpcp.top/m.php?id=cgtnjl
CGTN-英语,http://z.b.bkpcp.top/m.php?id=cgtn
CGTN-西语,http://z.b.bkpcp.top/m.php?id=cgtne
CGTN-阿语,http://z.b.bkpcp.top/m.php?id=cgtna
CGTN-法语,http://z.b.bkpcp.top/m.php?id=cgtnf
CGTN-俄语,http://z.b.bkpcp.top/m.php?id=cgtnr
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=chcjt
CHC动作电影,http://z.b.bkpcp.top/m.php?id=chcdz
CHC影迷电影,http://z.b.bkpcp.top/m.php?id=chcgq
欢笑剧场4K,http://z.b.bkpcp.top/m.php?id=hxjc
东方卫视,http://z.b.bkpcp.top/m.php?id=dfws
北京卫视,http://z.b.bkpcp.top/m.php?id=bjws
重庆卫视,http://z.b.bkpcp.top/m.php?id=cqws
吉林卫视,http://z.b.bkpcp.top/m.php?id=jlws
辽宁卫视,http://z.b.bkpcp.top/m.php?id=lnws
宁夏卫视,http://z.b.bkpcp.top/m.php?id=nxws
甘肃卫视,http://z.b.bkpcp.top/m.php?id=gsws
青海卫视,http://z.b.bkpcp.top/m.php?id=qhws
陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
山东卫视,http://z.b.bkpcp.top/m.php?id=sdws
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
湖南卫视,http://z.b.bkpcp.top/m.php?id=hunws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
南方卫视,http://z.b.bkpcp.top/m.php?id=dwqws
四川卫视,http://z.b.bkpcp.top/m.php?id=scws
新疆卫视,http://z.b.bkpcp.top/m.php?id=xjws
西藏卫视,http://z.b.bkpcp.top/m.php?id=xzws
海南卫视,http://z.b.bkpcp.top/m.php?id=hinws
内蒙古卫视,http://z.b.bkpcp.top/m.php?id=nmws
Y+ 剧 场,http://z.b.bkpcp.top/m.php?id=yjjc
中 学 生,http://z.b.bkpcp.top/m.php?id=zxs
老 故 事,http://z.b.bkpcp.top/m.php?id=lgs
发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
四海钓鱼,http://z.b.bkpcp.top/m.php?id=shdy
江苏教育,http://z.b.bkpcp.top/m.php?id=jsjy
山东教育,http://z.b.bkpcp.top/m.php?id=sdjy
游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
东方购物,http://z.b.bkpcp.top/m.php?id=dfgw
之江纪录,http://z.b.bkpcp.top/m.php?id=zjjl
杭州综合,http://z.b.bkpcp.top/m.php?id=hzzh
杭州明珠,http://z.b.bkpcp.top/m.php?id=hzmz
杭州生活,http://z.b.bkpcp.top/m.php?id=hzsh
杭州影视,http://z.b.bkpcp.top/m.php?id=hzys
杭州少儿,http://z.b.bkpcp.top/m.php?id=hzse
高清大片,http://z.b.bkpcp.top/m.php?id=gqdp
热剧联播,http://z.b.bkpcp.top/m.php?id=rjlb
成龙作品集,http://z.b.bkpcp.top/m.php?id=clzp
赛事最经典,http://z.b.bkpcp.top/m.php?id=sszjd
掼蛋精英赛,http://z.b.bkpcp.top/m.php?id=gdjys
体坛名栏汇,http://z.b.bkpcp.top/m.php?id=ttmhl
新片放映厅,http://z.b.bkpcp.top/m.php?id=xpfyt
军事迷必看大片,http://z.b.bkpcp.top/m.php?id=jsdp
经典深圳旁边电影,http://z.b.bkpcp.top/m.php?id=jddy
熊猫直播频道1,http://z.b.bkpcp.top/m.php?id=xm1
熊猫直播频道2,http://z.b.bkpcp.top/m.php?id=xm2
熊猫直播频道3,http://z.b.bkpcp.top/m.php?id=xm3
熊猫直播频道4,http://z.b.bkpcp.top/m.php?id=xm4
